beta_cs_fear_store,beta_cs_ext_store,beta_ctx_fear_store,beta_ctx_ext_store,beta_us_ext_store,phi_mean,phi_std,fear_cs_mean,fear_cs_std,fear_us_mean,fear_us_std,fear_ctx_fear_mean,fear_ctx_fear_std,fear_ctx_ext_mean,fear_ctx_ext_std,ext_cs_mean,ext_cs_std,ext_us_mean,ext_us_std,ext_ctx_ext_mean,ext_ctx_ext_std,ext_ctx_fear_mean,ext_ctx_fear_std,shared_cs_frac_mean,shared_cs_frac_std,ctx_sep_ext_mean,ctx_sep_fear_mean,storage_score
0.05,0.0,0.35,0.6,-0.9,0.31000000000000005,0.39881073205218537,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.0375,0.05574620066774855,0.2791666666666667,0.055746200667748554,0.08750000000000001,0.02975595178559521,0.01,0.014577379737113252,0.19166666666666665,0.004166666666666666,2.1206214641043712
0.05,0.0,0.35,0.6,-0.6,0.31000000000000005,0.39881073205218537,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.0375,0.05574620066774855,0.2791666666666667,0.055746200667748554,0.08750000000000001,0.02975595178559521,0.01,0.014577379737113252,0.19166666666666665,0.004166666666666666,2.1206214641043712
0.05,0.0,0.6,0.35,-0.6,0.31000000000000005,0.39881073205218537,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.05,0.05137011669140814,0.26666666666666666,0.05137011669140814,0.08750000000000001,0.02975595178559521,0.01,0.014577379737113252,0.17916666666666664,0.004166666666666666,2.1206214641043712
0.05,0.0,0.6,0.6,-0.9,0.31000000000000005,0.39881073205218537,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.0375,0.05574620066774855,0.2791666666666667,0.055746200667748554,0.08750000000000001,0.02975595178559521,0.01,0.014577379737113252,0.19166666666666665,0.004166666666666666,2.1206214641043712
0.05,0.0,0.6,0.6,-0.6,0.31000000000000005,0.39881073205218537,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.0375,0.05574620066774855,0.2791666666666667,0.055746200667748554,0.08750000000000001,0.02975595178559521,0.01,0.014577379737113252,0.19166666666666665,0.004166666666666666,2.1206214641043712
0.05,0.08,0.35,0.1,-0.6,0.32125,0.3919881216312555,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.125,0.024999999999999994,0.11666666666666667,0.03908679799852858,0.16666666666666666,0.020412414523193145,0.07916666666666666,0.02975595178559521,0.01,0.014577379737113252,0.0875,0.004166666666666666,2.123976243262511
0.05,0.08,0.35,0.1,-0.3,0.32125,0.3919881216312555,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.125,0.024999999999999994,0.11666666666666667,0.03908679799852858,0.16666666666666666,0.020412414523193145,0.07916666666666666,0.02975595178559521,0.01,0.014577379737113252,0.0875,0.004166666666666666,2.123976243262511
0.05,0.08,0.6,0.1,-0.6,0.32125,0.3919881216312555,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.125,0.024999999999999994,0.11666666666666667,0.03908679799852858,0.16666666666666666,0.020412414523193145,0.07916666666666666,0.02975595178559521,0.01,0.014577379737113252,0.0875,0.004166666666666666,2.123976243262511
0.05,0.08,0.6,0.1,-0.3,0.32125,0.3919881216312555,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.125,0.024999999999999994,0.11666666666666667,0.03908679799852858,0.16666666666666666,0.020412414523193145,0.07916666666666666,0.02975595178559521,0.01,0.014577379737113252,0.0875,0.004166666666666666,2.123976243262511
0.05,0.0,0.35,0.1,-0.9,0.31125,0.3981578675600923,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.041666666666666664,0.05335936864527374,0.2416666666666667,0.04166666666666667,0.08750000000000001,0.02975595178559521,0.01,0.014577379737113252,0.15416666666666667,0.004166666666666666,2.124315735120185
0.05,0.0,0.6,0.1,-0.9,0.31125,0.3981578675600923,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.041666666666666664,0.05335936864527374,0.2416666666666667,0.04166666666666667,0.08750000000000001,0.02975595178559521,0.01,0.014577379737113252,0.15416666666666667,0.004166666666666666,2.124315735120185
0.05,0.0,0.1,0.6,-0.3,0.31375000000000003,0.3964116389562749,0.125,0.024999999999999994,0.2333333333333333,0.109924216318941,0.1375,0.04310033513661917,0.12083333333333332,0.043100335136619164,0.1,0.01666666666666667,0.11666666666666667,0.016666666666666663,0.20416666666666666,0.013819269959814173,0.08750000000000001,0.02975595178559521,0.01125,0.013863170633011774,0.11666666666666665,0.01666666666666669,2.136156611245883
0.05,0.0,0.35,0.6,-0.3,0.31000000000000005,0.39881073205218537,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1,0.01666666666666667,0.11666666666666667,0.016666666666666663,0.20416666666666666,0.013819269959814173,0.08750000000000001,0.02975595178559521,0.01125,0.013863170633011774,0.11666666666666665,0.004166666666666666,2.142621464104371
0.05,0.0,0.6,0.6,-0.3,0.31000000000000005,0.39881073205218537,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1,0.01666666666666667,0.11666666666666667,0.016666666666666663,0.20416666666666666,0.013819269959814173,0.08750000000000001,0.02975595178559521,0.01125,0.013863170633011774,0.11666666666666665,0.004166666666666666,2.142621464104371
0.05,0.0,0.1,0.1,-0.6,0.31875,0.3935475670106474,0.125,0.024999999999999994,0.2333333333333333,0.109924216318941,0.1375,0.04310033513661917,0.12083333333333332,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.12916666666666668,0.013819269959814164,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01,0.014577379737113252,0.10416666666666666,0.01666666666666669,2.1437618006879613
0.05,0.0,0.1,0.1,-0.3,0.31875,0.3935475670106474,0.125,0.024999999999999994,0.2333333333333333,0.109924216318941,0.1375,0.04310033513661917,0.12083333333333332,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.12916666666666668,0.013819269959814164,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01,0.014577379737113252,0.10416666666666666,0.01666666666666669,2.1437618006879613
0.05,0.0,0.35,0.1,-0.6,0.315,0.39596401351638005,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.12916666666666668,0.013819269959814164,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01,0.014577379737113252,0.10416666666666666,0.004166666666666666,2.150261360366094
0.05,0.0,0.35,0.1,-0.3,0.315,0.39596401351638005,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.12916666666666668,0.013819269959814164,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01,0.014577379737113252,0.10416666666666666,0.004166666666666666,2.150261360366094
0.05,0.0,0.6,0.1,-0.6,0.315,0.39596401351638005,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.12916666666666668,0.013819269959814164,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01,0.014577379737113252,0.10416666666666666,0.004166666666666666,2.150261360366094
0.05,0.0,0.6,0.1,-0.3,0.315,0.39596401351638005,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.10833333333333334,0.014433756729740649,0.12916666666666668,0.013819269959814164,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01,0.014577379737113252,0.10416666666666666,0.004166666666666666,2.150261360366094
0.05,0.0,0.1,0.1,0.0,0.31625,0.3949584630059217,0.125,0.024999999999999994,0.2333333333333333,0.109924216318941,0.1375,0.04310033513661917,0.12083333333333332,0.043100335136619164,0.1,0.01666666666666667,0.13333333333333333,0.01178511301977579,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01125,0.013863170633011774,0.10416666666666666,0.01666666666666669,2.15658359267851
0.05,0.0,0.1,0.35,-0.3,0.31625,0.3949584630059217,0.125,0.024999999999999994,0.2333333333333333,0.109924216318941,0.1375,0.04310033513661917,0.12083333333333332,0.043100335136619164,0.1,0.01666666666666667,0.13333333333333333,0.01178511301977579,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01125,0.013863170633011774,0.10416666666666666,0.01666666666666669,2.15658359267851
0.05,0.0,0.1,0.35,0.0,0.31625,0.3949584630059217,0.125,0.024999999999999994,0.2333333333333333,0.109924216318941,0.1375,0.04310033513661917,0.12083333333333332,0.043100335136619164,0.1,0.01666666666666667,0.13333333333333333,0.01178511301977579,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01125,0.013863170633011774,0.10416666666666666,0.01666666666666669,2.15658359267851
0.05,0.0,0.1,0.6,0.0,0.31625,0.3949584630059217,0.125,0.024999999999999994,0.2333333333333333,0.109924216318941,0.1375,0.04310033513661917,0.12083333333333332,0.043100335136619164,0.1,0.01666666666666667,0.13333333333333333,0.01178511301977579,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01125,0.013863170633011774,0.10416666666666666,0.01666666666666669,2.15658359267851
0.05,0.0,0.35,0.1,0.0,0.3125,0.39734273618628035,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1,0.01666666666666667,0.13333333333333333,0.01178511301977579,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01125,0.013863170633011774,0.10416666666666666,0.004166666666666666,2.1630188057058946
0.05,0.0,0.35,0.35,-0.3,0.3125,0.39734273618628035,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1,0.01666666666666667,0.13333333333333333,0.01178511301977579,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01125,0.013863170633011774,0.10416666666666666,0.004166666666666666,2.1630188057058946
0.05,0.0,0.35,0.35,0.0,0.3125,0.39734273618628035,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1,0.01666666666666667,0.13333333333333333,0.01178511301977579,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01125,0.013863170633011774,0.10416666666666666,0.004166666666666666,2.1630188057058946
0.05,0.0,0.35,0.6,0.0,0.3125,0.39734273618628035,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1,0.01666666666666667,0.13333333333333333,0.01178511301977579,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01125,0.013863170633011774,0.10416666666666666,0.004166666666666666,2.1630188057058946
0.05,0.0,0.6,0.1,0.0,0.3125,0.39734273618628035,0.125,0.024999999999999994,0.15833333333333333,0.038188130791298666,0.11666666666666665,0.023570226039551584,0.11249999999999999,0.043100335136619164,0.1,0.01666666666666667,0.13333333333333333,0.01178511301977579,0.1875,0.013819269959814175,0.08333333333333334,0.03535533905932738,0.01125,0.013863170633011774,0.10416666666666666,0.004166666666666666,2.1630188057058946
